TIME;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);4.097.021,33;;4.011.238,28;;3.872.409,58;;3.920.945,85;;3.929.767,53;;3.960.228,7;;3.881.129,12;;3.724.270,32;;3.359.710,7;;3.541.454,64;
Belgium;124.564,89;;124.421,29;;118.960,8;;123.416,74;;121.829,31;;121.744,15;;122.768,01;;121.677,88;;110.905,57;;115.527,65;
Bulgaria;60.240,72;;55.007,92;;58.112,93;;61.026,6;;58.488,4;;60.506,94;;56.202,4;;54.728,68;;48.459,83;;54.479,62;
Czechia;136.435,11;;130.948,85;;128.811,18;;130.216,67;;131.849,03;;132.771,27;;131.146,48;;125.394,77;;114.068,58;;119.413,26;
Denmark;57.401,74;;59.115,08;;55.125,39;;52.299,06;;54.547,11;;52.306,15;;52.284,96;;48.491,87;;43.838,1;;45.120,4;
Germany;938.603,53;;959.268,29;;918.188,61;;921.358,57;;925.266,57;;911.020,86;;876.483,22;;824.634,27;;744.730,64;;778.656,23;
Estonia;20.143,77;;22.009,42;;21.185,18;;18.124,02;;19.742,07;;21.076,83;;20.240,3;;14.749,79;;11.479,74;;12.745,35;
Ireland;61.690,55;;61.731,93;;61.461,05;;64.259,95;;66.606,13;;66.484,65;;67.040,65;;64.509,14;;60.243,09;;63.435,14;
Greece;115.329,1;;105.747,57;;102.688,73;;98.856,23;;95.378,08;;99.571,4;;96.745,08;;90.172,56;;76.798,1;;80.019,6;
Spain;360.925,86;;333.989,64;;336.054,43;;348.265,16;;337.952,65;;352.243,9;;347.383,2;;328.938,5;;278.715,4;;297.167,52;
France;500.181,32;;499.547,68;;467.756,07;;472.177,66;;473.753,17;;476.617,86;;458.643,5;;450.251,75;;400.638,57;;423.218,05;
Croatia;26.445,64;;25.259,36;;24.528,05;;24.967,79;;25.212,52;;26.161,73;;25.164,83;;25.409,79;;24.071,86;;24.746,97;
Italy;500.940,9;;465.410,55;;444.487,55;;455.374,23;;453.330,25;;448.579,56;;445.677,46;;434.763,98;;388.786,92;;422.591,22;
Cyprus;9.538,23;;8.768,86;;9.142,15;;9.168,11;;9.745,65;;10.046,12;;9.940,07;;10.001,48;;8.908,99;;9.303,32;
Latvia;11.262,42;;11.193,03;;11.069,74;;11.092,12;;11.135,82;;11.225,69;;11.755,53;;11.630,29;;10.675,92;;10.978,96;
Lithuania;21.307,41;;20.194,71;;20.125,12;;20.436,97;;20.544,85;;20.700,99;;20.432,28;;20.659,1;;20.367,28;;20.478,67;
Luxembourg;12.927,25;;12.409,45;;12.010,53;;11.694,87;;11.610,19;;11.992,29;;12.415,87;;12.552,27;;10.678,7;;11.271,75;
Hungary;62.083,99;;59.175,17;;59.535,81;;62.756,93;;63.286,37;;65.758,17;;65.880,84;;65.628,69;;63.276,37;;64.595,39;
Malta;3.427;;3.123,68;;3.150,15;;2.489,5;;2.242,16;;2.457,83;;2.511,85;;2.660,69;;2.307,52;;2.382,97;
Netherlands;206.323,95;;206.239,37;;198.391,96;;205.934,37;;206.859,74;;204.549,84;;199.450,8;;193.348,22;;171.468,98;;175.003,83;
Austria;81.880,71;;82.222,74;;78.658,18;;81.031,39;;82.163,47;;84.395,25;;81.403,26;;82.922,58;;74.962,9;;78.769,62;
Poland;399.966,37;;395.869,42;;383.274,41;;385.833,76;;396.880,13;;412.107,01;;412.541,52;;390.130,46;;373.276,97;;402.390,63;
Portugal;69.015,7;;67.151,27;;67.207,57;;71.489,64;;69.880,82;;75.412,42;;72.042,28;;68.661,86;;59.731,54;;58.535,89;
Romania;131.095,78;;119.221,4;;118.839,23;;117.822,58;;116.187,74;;119.373,25;;119.652,5;;116.224,47;;112.179,29;;115.652,21;
Slovenia;19.149,47;;18.455,07;;16.798,23;;16.987,19;;17.851,08;;17.944,67;;17.791,33;;17.282,66;;16.000,94;;16.133,26;
Slovakia;42.618,97;;42.290,64;;40.309,07;;41.071,4;;41.526,31;;42.633,01;;42.515,41;;40.188,02;;37.288,84;;41.335,83;
Finland;64.220,07;;64.724,31;;60.510,82;;57.041,76;;59.870,66;;57.197,18;;58.409,19;;55.372,6;;48.697,77;;48.686,2;
Sweden;59.300,87;;57.741,57;;56.026,62;;55.752,62;;56.027,25;;55.349,66;;54.606,3;;53.283,97;;47.152,27;;48.815,11;
Iceland;5.131,98;;5.197,04;;5.272,3;;5.451,83;;5.639,39;;5.955,14;;6.165,23;;5.687,55;;4.784,41;;5.077,59;
Norway;55.197,77;;55.535,69;;55.948,48;;56.337,55;;55.375,21;;54.674,23;;54.774,91;;52.987,5;;50.060,83;;49.679,63;
Switzerland;57.344,12;;58.240,17;;54.321,3;;53.965,03;;54.514,06;;53.709,17;;52.520,78;;52.325,44;;45.974,23;;47.584,14;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
